academic_item,applies_to_all_offerings,code,type
C10219,True,047835B,CRICOS
C10219,True,047835B,CRICOS
C10219,True,047835B,CRICOS
C10219,True,047835B,CRICOS
C10219,True,047835B,CRICOS
C10223,True,079561C,CRICOS
C10223,True,079561C,CRICOS
C10223,True,079561C,CRICOS
C10223,True,079561C,CRICOS
C10223,True,079561C,CRICOS
C10223,True,079561C,CRICOS
C10223,True,079561C,CRICOS
C10223,True,079561C,CRICOS
C10223,True,079561C,CRICOS
C10223,True,079561C,CRICOS
C10223,True,079561C,CRICOS
C10223,True,079561C,CRICOS
C10223,True,079561C,CRICOS
C10223,True,079561C,CRICOS
C10226,True,063721A,CRICOS
C10226,True,063721A,CRICOS
C10226,True,063721A,CRICOS
C10226,True,063721A,CRICOS
C10228,True,079735G,CRICOS
C10228,True,079735G,CRICOS
C10228,True,079735G,CRICOS
C10228,True,079735G,CRICOS
C10228,True,079735G,CRICOS
C10228,True,079735G,CRICOS
C10228,True,079735G,CRICOS
C10229,True,057197M,CRICOS
C10229,True,057197M,CRICOS
C10229,True,057197M,CRICOS
C10239,True,059726G,CRICOS
C10239,True,059726G,CRICOS
C10239,True,059726G,CRICOS
C10239,True,059726G,CRICOS
C10239,True,059726G,CRICOS
C10242,True,040705B,CRICOS
C10242,True,040705B,CRICOS
C10242,True,040705B,CRICOS
C10242,True,040705B,CRICOS
C10243,True,026202J,CRICOS
C10243,True,026202J,CRICOS
C10245,True,064382G,CRICOS
C10245,True,064382G,CRICOS
C10245,True,064382G,CRICOS
C10245,True,064382G,CRICOS
C10245,True,064382G,CRICOS
C10245,True,064382G,CRICOS
C10271,True,071631C,CRICOS
C10271,True,071631C,CRICOS
C10271,True,071631C,CRICOS
C10271,True,071631C,CRICOS
C10271,True,071631C,CRICOS
C10271,True,071631C,CRICOS
C10271,True,071631C,CRICOS
C10271,True,071631C,CRICOS
C10271,True,071631C,CRICOS
C10271,True,071631C,CRICOS
C10271,True,071631C,CRICOS
C10271,True,071631C,CRICOS
C10272,True,071646G,CRICOS
C10272,True,071646G,CRICOS
C10272,True,071646G,CRICOS
C10272,True,071646G,CRICOS
C10276,True,092409B,CRICOS
C10276,True,092409B,CRICOS
C10276,True,092409B,CRICOS
C10276,True,092409B,CRICOS
C10277,True,092410J,CRICOS
C10277,True,092410J,CRICOS
C10277,True,092410J,CRICOS
C10277,True,092410J,CRICOS
C10278,True,0100484,CRICOS
C10278,True,0100484,CRICOS
C10278,True,0100484,CRICOS
C10278,True,0100484,CRICOS
C10278,True,0100484,CRICOS
C10278,True,0100484,CRICOS
C10300,True,080087C,CRICOS
C10300,True,080087C,CRICOS
C10300,True,080087C,CRICOS
C10300,True,080087C,CRICOS
C10300,True,080087C,CRICOS
C10300,True,080087C,CRICOS
C10300,True,080087C,CRICOS
C10300,True,080087C,CRICOS
C10300,True,080087C,CRICOS
C10300,True,080087C,CRICOS
C10300,True,080087C,CRICOS
C10300,True,080087C,CRICOS
C10300,True,080087C,CRICOS
C10300,True,080087C,CRICOS
C10300,True,080087C,CRICOS
C10300,True,080087C,CRICOS
C10300,True,080087C,CRICOS
C10300,True,080087C,CRICOS
C10301,True,080086D,CRICOS
C10301,True,080086D,CRICOS
C10302,True,080084F,CRICOS
C10302,True,080084F,CRICOS
C10302,True,080084F,CRICOS
C10302,True,080084F,CRICOS
C10303,True,080085E,CRICOS
C10303,True,080085E,CRICOS
C10304,True,077331M,CRICOS
C10304,True,077331M,CRICOS
C10305,True,077333J,CRICOS
C10305,True,077333J,CRICOS
C10306,True,077334G,CRICOS
C10306,True,077334G,CRICOS
C10307,True,077338D,CRICOS
C10307,True,077338D,CRICOS
C10308,True,077339C,CRICOS
C10308,True,077339C,CRICOS
C10309,True,077341J,CRICOS
C10309,True,077341J,CRICOS
C10310,True,079553C,CRICOS
C10310,True,079553C,CRICOS
C10310,True,079553C,CRICOS
C10310,True,079553C,CRICOS
C10320,True,079556M,CRICOS
C10320,True,079556M,CRICOS
C10320,True,079556M,CRICOS
C10321,True,079751G,CRICOS
C10321,True,079751G,CRICOS
C10322,True,079752G,CRICOS
C10322,True,079752G,CRICOS
C10322,True,079752G,CRICOS
C10322,True,079752G,CRICOS
C10322,True,079752G,CRICOS
C10322,True,079752G,CRICOS
C10322,True,079752G,CRICOS
C10322,True,079752G,CRICOS
C10322,True,079752G,CRICOS
C10322,True,079752G,CRICOS
C10323,True,079753F,CRICOS
C10323,True,079753F,CRICOS
C10324,True,079754E,CRICOS
C10324,True,079754E,CRICOS
C10325,True,079755D,CRICOS
C10325,True,079755D,CRICOS
C10325,True,079755D,CRICOS
C10325,True,079755D,CRICOS
C10325,True,079755D,CRICOS
C10325,True,079755D,CRICOS
C10325,True,079755D,CRICOS
C10325,True,079755D,CRICOS
C10326,True,079756C,CRICOS
C10326,True,079756C,CRICOS
C10327,True,079757B,CRICOS
C10327,True,079757B,CRICOS
C10327,True,079757B,CRICOS
C10327,True,079757B,CRICOS
C10327,True,079757B,CRICOS
C10327,True,079757B,CRICOS
C10328,True,079758A,CRICOS
C10328,True,079758A,CRICOS
C10328,True,079758A,CRICOS
C10328,True,079758A,CRICOS
C10328,True,079758A,CRICOS
C10328,True,079758A,CRICOS
C10328,True,079758A,CRICOS
C10328,True,079758A,CRICOS
C10330,True,079759M,CRICOS
C10330,True,079759M,CRICOS
C10338,True,079765B,CRICOS
C10338,True,079765B,CRICOS
C10338,True,079765B,CRICOS
C10338,True,079765B,CRICOS
C10338,True,079765B,CRICOS
C10338,True,079765B,CRICOS
C10338,True,079765B,CRICOS
C10338,True,079765B,CRICOS
C10342,True,084784A,CRICOS
C10342,True,084784A,CRICOS
C10342,True,084784A,CRICOS
C10342,True,084784A,CRICOS
C10342,True,084784A,CRICOS
C10342,True,084784A,CRICOS
C10342,True,084784A,CRICOS
C10342,True,084784A,CRICOS
C10342,True,084784A,CRICOS
C10342,True,084784A,CRICOS
C10343,True,084785M,CRICOS
C10343,True,084785M,CRICOS
C10343,True,084785M,CRICOS
C10343,True,084785M,CRICOS
C10343,True,084785M,CRICOS
C10343,True,084785M,CRICOS
C10345,True,084259M,CRICOS
C10345,True,084259M,CRICOS
C10345,True,084259M,CRICOS
C10345,True,084259M,CRICOS
C10345,True,084259M,CRICOS
C10345,True,084259M,CRICOS
C10347,True,084270E,CRICOS
C10347,True,084270E,CRICOS
C10347,True,084270E,CRICOS
C10347,True,084270E,CRICOS
C10348,True,086359B,CRICOS
C10348,True,086359B,CRICOS
C10348,True,086359B,CRICOS
C10348,True,086359B,CRICOS
C10348,True,086359B,CRICOS
C10348,True,086359B,CRICOS
C10348,True,086359B,CRICOS
C10348,True,086359B,CRICOS
C10348,True,086359B,CRICOS
C10351,True,088063B,CRICOS
C10351,True,088063B,CRICOS
C10351,True,088063B,CRICOS
C10352,True,088064A,CRICOS
C10352,True,088064A,CRICOS
C10355,True,088067J,CRICOS
C10355,True,088067J,CRICOS
C10355,True,088067J,CRICOS
C10359,True,088069G,CRICOS
C10359,True,088069G,CRICOS
C10359,True,088069G,CRICOS
C10359,True,088069G,CRICOS
C10359,True,088069G,CRICOS
C10359,True,088069G,CRICOS
C10360,True,088070C,CRICOS
C10360,True,088070C,CRICOS
C10360,True,088070C,CRICOS
C10360,True,088070C,CRICOS
C10361,True,087733K,CRICOS
C10361,True,087733K,CRICOS
C10361,True,087733K,CRICOS
C10361,True,087733K,CRICOS
C10361,True,087733K,CRICOS
C10361,True,087733K,CRICOS
C10361,True,087733K,CRICOS
C10361,True,087733K,CRICOS
C10361,True,087733K,CRICOS
C10361,True,087733K,CRICOS
C10362,True,087734J,CRICOS
C10362,True,087734J,CRICOS
C10362,True,087734J,CRICOS
C10362,True,087734J,CRICOS
C10362,True,087734J,CRICOS
C10362,True,087734J,CRICOS
C10362,True,087734J,CRICOS
C10362,True,087734J,CRICOS
C10362,True,087734J,CRICOS
C10362,True,087734J,CRICOS
C10362,True,087734J,CRICOS
C10362,True,087734J,CRICOS
C10362,True,087734J,CRICOS
C10362,True,087734J,CRICOS
C10362,True,087734J,CRICOS
C10363,True,087735G,CRICOS
C10363,True,087735G,CRICOS
C10363,True,087735G,CRICOS
C10363,True,087735G,CRICOS
C10363,True,087735G,CRICOS
C10363,True,087735G,CRICOS
C10363,True,087735G,CRICOS
C10363,True,087735G,CRICOS
C10363,True,087735G,CRICOS
C10363,True,087735G,CRICOS
C10364,True,087736G,CRICOS
C10364,True,087736G,CRICOS
C10364,True,087736G,CRICOS
C10364,True,087736G,CRICOS
C10364,True,087736G,CRICOS
C10364,True,087736G,CRICOS
C10364,True,087736G,CRICOS
C10364,True,087736G,CRICOS
C10365,True,087763D,CRICOS
C10365,True,087763D,CRICOS
C10365,True,087763D,CRICOS
C10365,True,087763D,CRICOS
C10365,True,087763D,CRICOS
C10365,True,087763D,CRICOS
C10365,True,087763D,CRICOS
C10365,True,087763D,CRICOS
C10366,True,087764C,CRICOS
C10366,True,087764C,CRICOS
C10366,True,087764C,CRICOS
C10366,True,087764C,CRICOS
C10366,True,087764C,CRICOS
C10366,True,087764C,CRICOS
C10366,True,087764C,CRICOS
C10366,True,087764C,CRICOS
C10367,True,087765B,CRICOS
C10367,True,087765B,CRICOS
C10367,True,087765B,CRICOS
C10367,True,087765B,CRICOS
C10367,True,087765B,CRICOS
C10367,True,087765B,CRICOS
C10367,True,087765B,CRICOS
C10367,True,087765B,CRICOS
C10368,True,087766A,CRICOS
C10368,True,087766A,CRICOS
C10368,True,087766A,CRICOS
C10368,True,087766A,CRICOS
C10368,True,087766A,CRICOS
C10368,True,087766A,CRICOS
C10368,True,087766A,CRICOS
C10368,True,087766A,CRICOS
C10369,True,087737F,CRICOS
C10369,True,087737F,CRICOS
C10369,True,087737F,CRICOS
C10369,True,087737F,CRICOS
C10369,True,087737F,CRICOS
C10369,True,087737F,CRICOS
C10369,True,087737F,CRICOS
C10369,True,087737F,CRICOS
C10370,True,087767M,CRICOS
C10370,True,087767M,CRICOS
C10370,True,087767M,CRICOS
C10370,True,087767M,CRICOS
C10370,True,087767M,CRICOS
C10370,True,087767M,CRICOS
C10370,True,087767M,CRICOS
C10370,True,087767M,CRICOS
C10371,True,087738E,CRICOS
C10371,True,087738E,CRICOS
C10371,True,087738E,CRICOS
C10371,True,087738E,CRICOS
C10371,True,087738E,CRICOS
C10371,True,087738E,CRICOS
C10371,True,087738E,CRICOS
C10371,True,087738E,CRICOS
C10371,True,087738E,CRICOS
C10371,True,087738E,CRICOS
C10372,True,087768K,CRICOS
C10372,True,087768K,CRICOS
C10372,True,087768K,CRICOS
C10372,True,087768K,CRICOS
C10372,True,087768K,CRICOS
C10372,True,087768K,CRICOS
C10372,True,087768K,CRICOS
C10372,True,087768K,CRICOS
C10373,True,087777J,CRICOS
C10373,True,087777J,CRICOS
C10373,True,087777J,CRICOS
C10373,True,087777J,CRICOS
C10373,True,087777J,CRICOS
C10373,True,087777J,CRICOS
C10374,True,087778G,CRICOS
C10374,True,087778G,CRICOS
C10374,True,087778G,CRICOS
C10374,True,087778G,CRICOS
C10374,True,087778G,CRICOS
C10374,True,087778G,CRICOS
C10375,True,087779G,CRICOS
C10375,True,087779G,CRICOS
C10375,True,087779G,CRICOS
C10375,True,087779G,CRICOS
C10375,True,087779G,CRICOS
C10375,True,087779G,CRICOS
C10376,True,087780C,CRICOS
C10376,True,087780C,CRICOS
C10376,True,087780C,CRICOS
C10376,True,087780C,CRICOS
C10376,True,087780C,CRICOS
C10376,True,087780C,CRICOS
C10377,True,087781B,CRICOS
C10377,True,087781B,CRICOS
C10377,True,087781B,CRICOS
C10377,True,087781B,CRICOS
C10377,True,087781B,CRICOS
C10377,True,087781B,CRICOS
C10378,True,087782A,CRICOS
C10378,True,087782A,CRICOS
C10378,True,087782A,CRICOS
C10378,True,087782A,CRICOS
C10378,True,087782A,CRICOS
C10378,True,087782A,CRICOS
C10379,True,087783M,CRICOS
C10379,True,087783M,CRICOS
C10379,True,087783M,CRICOS
C10379,True,087783M,CRICOS
C10379,True,087783M,CRICOS
C10379,True,087783M,CRICOS
C10380,True,087786G,CRICOS
C10380,True,087786G,CRICOS
C10380,True,087786G,CRICOS
C10380,True,087786G,CRICOS
C10380,True,087786G,CRICOS
C10380,True,087786G,CRICOS
C10380,True,087786G,CRICOS
C10380,True,087786G,CRICOS
C10381,True,087787G,CRICOS
C10381,True,087787G,CRICOS
C10381,True,087787G,CRICOS
C10381,True,087787G,CRICOS
C10382,True,087788F,CRICOS
C10382,True,087788F,CRICOS
C10382,True,087788F,CRICOS
C10382,True,087788F,CRICOS
C10382,True,087788F,CRICOS
